# Image with: 7.1e21 meters, image height: 7.2e20 meters.
4207
1.0000e31  -2.8687e21  2.8756e19  -4.0992e5  -4.0346e5  # galaxy 1, star 63
1.0000e31  -2.8685e21  3.2396e19  -4.2172e5  -3.6543e5  # galaxy 1, star 64
1.0000e31  -2.8680e21  3.6239e19  -4.3082e5  -3.2787e5  # galaxy 1, star 65
1.0000e31  -2.8672e21  4.0281e19  -4.3731e5  -2.9095e5  # galaxy 1, star 66
1.0000e31  -2.8661e21  4.4514e19  -4.4132e5  -2.5480e5  # galaxy 1, star 67
1.0000e31  -2.8646e21  4.8928e19  -4.4298e5  -2.1955e5  # galaxy 1, star 68
1.0000e31  -2.8628e21  5.3509e19  -4.4243e5  -1.8532e5  # galaxy 1, star 69
1.0000e31  -2.8606e21  5.8243e19  -4.3978e5  -1.5221e5  # galaxy 1, star 70
1.0000e31  -2.8578e21  6.3111e19  -4.3518e5  -1.2031e5  # galaxy 1, star 71
1.0000e31  -2.8546e21  6.8089e19  -4.2876e5  -8.9714e4  # galaxy 1, star 72
1.0000e31  -2.8509e21  7.3151e19  -4.2066e5  -6.0482e4  # galaxy 1, star 73
1.0000e31  -2.8466e21  7.8267e19  -4.1102e5  -3.2676e4  # galaxy 1, star 74
1.0000e31  -2.8417e21  8.3402e19  -3.9998e5  -6.3469e3  # galaxy 1, star 75
1.0000e31  -2.8362e21  8.8516e19  -3.8767e5  1.8467e4  # galaxy 1, star 76
1.0000e31  -2.8300e21  9.3565e19  -3.7422e5  4.1735e4  # galaxy 1, star 77
1.0000e31  -2.8230e21  9.8500e19  -3.5976e5  6.3436e4  # galaxy 1, star 78
1.0000e31  -2.8153e21  1.0326e20  -3.4443e5  8.3559e4  # galaxy 1, star 79
1.0000e31  -2.8069e21  1.0780e20  -3.2835e5  1.0210e5  # galaxy 1, star 80
1.0000e31  -2.7976e21  1.1203e20  -3.1164e5  1.1906e5  # galaxy 1, star 81
1.0000e31  -2.7875e21  1.1590e20  -2.9442e5  1.3446e5  # galaxy 1, star 82
1.0000e31  -2.7765e21  1.1932e20  -2.7679e5  1.4830e5  # galaxy 1, star 83
1.0000e31  -2.7646e21  1.2220e20  -2.5888e5  1.6062e5  # galaxy 1, star 84
1.0000e31  -2.7518e21  1.2445e20  -2.4077e5  1.7145e5  # galaxy 1, star 85
1.0000e31  -2.7381e21  1.2598e20  -2.2258e5  1.8082e5  # galaxy 1, star 86
1.0000e31  -2.7234e21  1.2667e20  -2.0438e5  1.8878e5  # galaxy 1, star 87
1.0000e31  -2.7078e21  1.2642e20  -1.8627e5  1.9536e5  # galaxy 1, star 88
1.0000e31  -2.6913e21  1.2510e20  -1.6834e5  2.0061e5  # galaxy 1, star 89
1.0000e31  -2.6739e21  1.2259e20  -1.5064e5  2.0460e5  # galaxy 1, star 90
1.0000e31  -2.6556e21  1.1876e20  -1.3327e5  2.0737e5  # galaxy 1, star 91
1.0000e31  -2.6365e21  1.1347e20  -1.1628e5  2.0899e5  # galaxy 1, star 92
1.0000e31  -2.6165e21  1.0656e20  -9.9725e4  2.0950e5  # galaxy 1, star 93
1.0000e31  -2.5959e21  9.7896e19  -8.3666e4  2.0899e5  # galaxy 1, star 94
1.0000e31  -2.5745e21  8.7318e19  -6.8149e4  2.0750e5  # galaxy 1, star 95
1.0000e31  -2.5526e21  7.4665e19  -5.3216e4  2.0510e5  # galaxy 1, star 96
1.0000e31  -2.5303e21  5.9773e19  -3.8906e4  2.0186e5  # galaxy 1, star 97
1.0000e31  -2.5076e21  4.2478e19  -2.5249e4  1.9784e5  # galaxy 1, star 98
1.0000e31  -2.4846e21  2.2609e19  -1.2273e4  1.9311e5  # galaxy 1, star 99
1.0000e31  -2.4617e21  -2.4361e5  1.2076e-10  1.8774e5  # galaxy 1, star 100
1.0000e31  -2.8399e21  8.1995e17  -3.2517e6  1.8774e6  # galaxy 1, star 101
1.0000e31  -2.8398e21  8.3746e17  -3.0329e6  2.0178e6  # galaxy 1, star 102
1.0000e31  -2.8398e21  8.5037e17  -2.8124e6  2.1404e6  # galaxy 1, star 103
1.0000e31  -2.8397e21  8.5800e17  -2.5914e6  2.2454e6  # galaxy 1, star 104
1.0000e31  -2.8396e21  8.5960e17  -2.3709e6  2.3336e6  # galaxy 1, star 105
1.0000e31  -2.8394e21  8.5438e17  -2.1520e6  2.4054e6  # galaxy 1, star 106
1.0000e31  -2.8393e21  8.4151e17  -1.9357e6  2.4614e6  # galaxy 1, star 107
1.0000e31  -2.8392e21  8.2011e17  -1.7227e6  2.5023e6  # galaxy 1, star 108
1.0000e31  -2.8391e21  7.8925e17  -1.5140e6  2.5289e6  # galaxy 1, star 109
1.0000e31  -2.8389e21  7.4798e17  -1.3103e6  2.5417e6  # galaxy 1, star 110
1.0000e31  -2.8388e21  6.9528e17  -1.1123e6  2.5416e6  # galaxy 1, star 111
1.0000e31  -2.8387e21  6.3013e17  -9.2060e5  2.5293e6  # galaxy 1, star 112
1.0000e31  -2.8385e21  5.5144e17  -7.3572e5  2.5056e6  # galaxy 1, star 113
1.0000e31  -2.8384e21  4.5812e17  -5.5818e5  2.4713e6  # galaxy 1, star 114
1.0000e31  -2.8382e21  3.4905e17  -3.8838e5  2.4272e6  # galaxy 1, star 115
1.0000e31  -2.8381e21  2.2309e17  -2.2669e5  2.3740e6  # galaxy 1, star 116
1.0000e31  -2.8379e21  7.9111e16  -7.3410e4  2.3126e6  # galaxy 1, star 117
1.0000e31  -2.8378e21  -8.4046e16  7.1222e4  2.2436e6  # galaxy 1, star 118
1.0000e31  -2.8376e21  -2.6751e17  2.0702e5  2.1680e6  # galaxy 1, star 119
1.0000e31  -2.8374e21  -4.7239e17  3.3385e5  2.0864e6  # galaxy 1, star 120
1.0000e31  -2.8373e21  -6.9978e17  4.5163e5  1.9996e6  # galaxy 1, star 121
1.0000e31  -2.8372e21  -9.5071e17  5.6032e5  1.9083e6  # galaxy 1, star 122
1.0000e31  -2.8370e21  -1.2262e18  6.5995e5  1.8132e6  # galaxy 1, star 123
1.0000e31  -2.8369e21  -1.5270e18  7.5057e5  1.7150e6  # galaxy 1, star 124
1.0000e31  -2.8368e21  -1.8541e18  8.3226e5  1.6144e6  # galaxy 1, star 125
1.0000e31  -2.8367e21  -2.2082e18  9.0516e5  1.5119e6  # galaxy 1, star 126
1.0000e31  -2.8366e21  -2.5897e18  9.6945e5  1.4082e6  # galaxy 1, star 127
1.0000e31  -2.8366e21  -2.9992e18  1.0253e6  1.3038e6  # galaxy 1, star 128
1.0000e31  -2.8366e21  -3.4369e18  1.0730e6  1.1993e6  # galaxy 1, star 129
1.0000e31  -2.8366e21  -3.9028e18  1.1127e6  1.0952e6  # galaxy 1, star 130
1.0000e31  -2.8366e21  -4.3968e18  1.1447e6  9.9192e5  # galaxy 1, star 131
1.0000e31  -2.8367e21  -4.9184e18  1.1694e6  8.8998e5  # galaxy 1, star 132
1.0000e31  -2.8368e21  -5.4670e18  1.1870e6  7.8975e5  # galaxy 1, star 133
1.0000e31  -2.8369e21  -6.0415e18  1.1979e6  6.9163e5  # galaxy 1, star 134
1.0000e31  -2.8371e21  -6.6405e18  1.2024e6  5.9595e5  # galaxy 1, star 135
1.0000e31  -2.8374e21  -7.2623e18  1.2009e6  5.0303e5  # galaxy 1, star 136
1.0000e31  -2.8377e21  -7.9049e18  1.1937e6  4.1316e5  # galaxy 1, star 137
1.0000e31  -2.8380e21  -8.5655e18  1.1812e6  3.2658e5  # galaxy 1, star 138
1.0000e31  -2.8385e21  -9.2411e18  1.1638e6  2.4352e5  # galaxy 1, star 139
1.0000e31  -2.8390e21  -9.9282e18  1.1418e6  1.6417e5  # galaxy 1, star 140
1.0000e31  -2.8396e21  -1.0623e19  1.1157e6  8.8697e4  # galaxy 1, star 141
1.0000e31  -2.8402e21  -1.1319e19  1.0857e6  1.7228e4  # galaxy 1, star 142
1.0000e31  -2.8410e21  -1.2014e19  1.0523e6  -5.0127e4  # galaxy 1, star 143
1.0000e31  -2.8418e21  -1.2699e19  1.0158e6  -1.1329e5  # galaxy 1, star 144
1.0000e31  -2.8428e21  -1.3368e19  9.7655e5  -1.7219e5  # galaxy 1, star 145
1.0000e31  -2.8438e21  -1.4015e19  9.3494e5  -2.2681e5  # galaxy 1, star 146
1.0000e31  -2.8449e21  -1.4630e19  8.9129e5  -2.7714e5  # galaxy 1, star 147
1.0000e31  -2.8462e21  -1.5205e19  8.4593e5  -3.2318e5  # galaxy 1, star 148
1.0000e31  -2.8476e21  -1.5730e19  7.9918e5  -3.6497e5  # galaxy 1, star 149
1.0000e31  -2.8491e21  -1.6194e19  7.5134e5  -4.0256e5  # galaxy 1, star 150
1.0000e31  -2.8507e21  -1.6585e19  7.0270e5  -4.3600e5  # galaxy 1, star 151
1.0000e31  -2.8524e21  -1.6891e19  6.5356e5  -4.6540e5  # galaxy 1, star 152
1.0000e31  -2.8543e21  -1.7098e19  6.0416e5  -4.9083e5  # galaxy 1, star 153
1.0000e31  -2.8563e21  -1.7192e19  5.5477e5  -5.1242e5  # galaxy 1, star 154
1.0000e31  -2.8584e21  -1.7158e19  5.0562e5  -5.3028e5  # galaxy 1, star 155
1.0000e31  -2.8606e21  -1.6979e19  4.5693e5  -5.4455e5  # galaxy 1, star 156
1.0000e31  -2.8630e21  -1.6639e19  4.0891e5  -5.5537e5  # galaxy 1, star 157
1.0000e31  -2.8655e21  -1.6118e19  3.6175e5  -5.6290e5  # galaxy 1, star 158
1.0000e31  -2.8681e21  -1.5400e19  3.1563e5  -5.6728e5  # galaxy 1, star 159
1.0000e31  -2.8708e21  -1.4462e19  2.7069e5  -5.6868e5  # galaxy 1, star 160
1.0000e31  -2.8736e21  -1.3287e19  2.2710e5  -5.6728e5  # galaxy 1, star 161
1.0000e31  -2.8765e21  -1.1851e19  1.8498e5  -5.6324e5  # galaxy 1, star 162
1.0000e31  -2.8795e21  -1.0134e19  1.4445e5  -5.5673e5  # galaxy 1, star 163
1.0000e31  -2.8825e21  -8.1125e18  1.0561e5  -5.4794e5  # galaxy 1, star 164
1.0000e31  -2.8856e21  -5.7651e18  6.8536e4  -5.3703e5  # galaxy 1, star 165
1.0000e31  -2.8887e21  -3.0686e18  3.3314e4  -5.2419e5  # galaxy 1, star 166
